idMiscellaneous,subject,reading,createdat
"860","speedreading","1735646122:BV:3300","2025-01-01 00:25:24"
"610","getconfigrun","success","2025-01-01 00:33:27"
"610","speedreading","1735646580:W1:13401:0~1735646580:BV:523~","2025-01-01 00:33:27"
"610","getconfigrun","success","2025-01-01 00:37:18"
"610","speedreading","1735646820:W0:4925:0:200:0~1735646820:BV:524~","2025-01-01 00:37:18"
"860","speedreading","1735649722:BV:3300","2025-01-01 01:25:25"
"860","speedreading","1735653323:BV:3300","2025-01-01 02:25:24"
"860","speedreading","1735656923:BV:3300","2025-01-01 03:25:26"
"543","getconfigrun","success","2025-01-01 03:30:06"
"543","speedreading","1735657200:W1:5750:0~1735657200:BV:512~","2025-01-01 03:30:06"
"860","speedreading","1735660522:BV:2634","2025-01-01 04:25:25"
"613","getconfigrun","success","2025-01-01 04:30:11"
"613","speedreading","1735660800:W1:7971:0~1735660800:BV:834~","2025-01-01 04:30:11"
"528","getconfigrun","success","2025-01-01 04:30:19"
"528","speedreading","1735574640:W0:7119:35:200:0~1735574640:BV:434~1735660800:W1:9142:0~1735660800:BV:433~","2025-01-01 04:30:19"
"528","getconfigrun","success","2025-01-01 04:34:14"
"528","speedreading","1735661040:W0:4860:28:200:0~1735661040:BV:432~","2025-01-01 04:34:15"
"655","getconfigrun","success","2025-01-01 04:35:07"
"655","speedreading","1735661100:W1:6893:0~1735661100:BV:429~","2025-01-01 04:35:08"
"625","getconfigrun","success","2025-01-01 04:40:09"
"625","speedreading","1735661400:W1:8528:0~1735661400:BV:408~","2025-01-01 04:40:09"
"625","getconfigrun","success","2025-01-01 04:44:05"
"625","speedreading","1735661640:W0:4861:34:200:0~1735661640:BV:409~","2025-01-01 04:44:05"
"543","getconfigrun","success","2025-01-01 04:46:05"
"543","speedreading","1735661760:W0:4983:0:200:0~1735661760:BV:513~","2025-01-01 04:46:06"
"613","getconfigrun","success","2025-01-01 04:50:09"
"613","speedreading","1735662000:W0:6110:0:200:0~1735662000:BV:833~","2025-01-01 04:50:09"
"655","getconfigrun","success","2025-01-01 05:12:07"
"655","speedreading","1735663320:W0:5999:166:200:0~1735663320:BV:430~","2025-01-01 05:12:07"
"860","speedreading","1735664122:BV:2617","2025-01-01 05:25:25"
"53","getconfigrun","success","2025-01-01 05:30:32"
"53","speedreading","1735664400:W1:6578:0~1735664400:BV:457~","2025-01-01 05:30:32"
"53","getconfigrun","success","2025-01-01 06:10:35"
"53","speedreading","1735666800:W0:9147:149:201:0~1735666800:BV:457~","2025-01-01 06:10:35"
"860","speedreading","1735667721:BV:2666","2025-01-01 06:25:24"
"654","getconfigrun","success","2025-01-01 06:30:06"
"654","speedreading","1735668000:W1:5876:0~1735668000:BV:441~","2025-01-01 06:30:06"
"524","getconfigrun","success","2025-01-01 06:30:13"
"524","speedreading","1735668000:W1:6131:0~1735668000:BV:408~","2025-01-01 06:30:13"
"654","getconfigrun","success","2025-01-01 06:34:05"
"654","speedreading","1735668240:W0:4902:13:200:0~1735668240:BV:441~","2025-01-01 06:34:05"
"524","getconfigrun","success","2025-01-01 06:34:15"
"524","speedreading","1735668240:W0:7926:7:200:0~1735668240:BV:409~","2025-01-01 06:34:15"
"647","getconfigrun","success","2025-01-01 06:35:15"
"647","speedreading","1735668300:W1:6208:0~1735668300:BV:446~","2025-01-01 06:35:15"
"647","getconfigrun","success","2025-01-01 06:39:18"
"647","speedreading","1735668540:W0:9604:0:200:0~1735668540:BV:446~","2025-01-01 06:39:19"
"644","getconfigrun","success","2025-01-01 07:00:16"
"644","speedreading","1735669800:W1:13352:0~1735669800:BV:802~","2025-01-01 07:00:16"
"644","getconfigrun","success","2025-01-01 07:06:15"
"644","speedreading","1735670160:W0:12084:1:200:0~1735670160:BV:798~","2025-01-01 07:06:15"
"860","speedreading","1735671322:BV:2595","2025-01-01 07:25:24"
