idMiscellaneous,subject,reading,createdat
848,speedreading,1738371023:BV:2618,"2025-02-01 00:50:27"
860,speedreading,1738371322:BV:2561,"2025-02-01 00:55:23"
848,speedreading,1738374622:BV:2617,"2025-02-01 01:50:26"
860,speedreading,1738374923:BV:2560,"2025-02-01 01:55:25"
848,speedreading,1738378222:BV:2617,"2025-02-01 02:50:25"
860,speedreading,1738378522:BV:2560,"2025-02-01 02:55:24"
848,speedreading,1738381822:BV:2617,"2025-02-01 03:50:25"
860,speedreading,1738382123:BV:2559,"2025-02-01 03:55:25"
848,speedreading,1738385423:BV:2617,"2025-02-01 04:50:25"
860,speedreading,1738385722:BV:2560,"2025-02-01 04:55:24"
848,speedreading,1738389023:BV:2616,"2025-02-01 05:50:25"
860,speedreading,1738389323:BV:2559,"2025-02-01 05:55:26"
636,getconfigrun,success,"2025-02-01 06:30:06"
636,speedreading,1738391400:W1:11742:0~1738391400:BV:457~,"2025-02-01 06:30:07"
636,getconfigrun,success,"2025-02-01 06:34:02"
636,speedreading,1738391640:W0:7583:180:200:0~1738391640:BV:456~,"2025-02-01 06:34:03"
638,getconfigrun,success,"2025-02-01 06:40:23"
638,speedreading,1738392000:W1:12843:0~1738392000:BV:809~,"2025-02-01 06:40:23"
638,getconfigrun,success,"2025-02-01 06:44:18"
638,speedreading,1738392240:W0:7685:1:200:0~1738392240:BV:808~,"2025-02-01 06:44:18"
860,speedreading,1738392923:BV:2558,"2025-02-01 06:55:25"
650,getconfigrun,success,"2025-02-01 07:00:10"
650,speedreading,1738393200:W1:5820:0~1738393200:BV:821~,"2025-02-01 07:00:10"
50024,speedreading,"{"Datetime": [14, "02", "07", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "B", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "B"}]}","2025-02-01 07:02:16"
64,getconfigrun,success,"2025-02-01 07:10:30"
64,speedreading,1738393800:W1:7239:0~1738393800:BV:338~,"2025-02-01 07:10:31"
50024,speedreading,"{"Datetime": [33, 21, "07", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "B", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "41", "F2": "0", "ACR": "b"}]}","2025-02-01 07:21:38"
650,getconfigrun,success,"2025-02-01 07:30:09"
650,speedreading,1738395000:W0:4771:0:200:0~1738395000:BV:822~,"2025-02-01 07:30:09"
50024,speedreading,"{"Datetime": [13, 32, "07", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "C", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "C"}]}","2025-02-01 07:32:17"
531,getconfigrun,success,"2025-02-01 07:35:52"
531,speedreading,1738395360:W1:19370:0~1738395360:BV:396~,"2025-02-01 07:35:52"
64,getconfigrun,success,"2025-02-01 07:40:37"
64,speedreading,1738395600:W0:14147:0:200:0~1738395600:BV:339~,"2025-02-01 07:40:38"
651,getconfigrun,success,"2025-02-01 07:45:09"
651,speedreading,1738395900:W1:5826:0~1738395900:BV:836~,"2025-02-01 07:45:09"
848,speedreading,1738396223:BV:2616,"2025-02-01 07:50:26"
50024,speedreading,"{"Datetime": [33, 51, "07", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "C", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "52", "F2": "0", "ACR": "c"}]}","2025-02-01 07:51:35"
860,speedreading,1738396522:BV:2574,"2025-02-01 07:55:24"
656,getconfigrun,success,"2025-02-01 08:01:11"
656,speedreading,1738396800:W1:72092:0~1738396800:BV:417~,"2025-02-01 08:01:11"
50024,speedreading,"{"Datetime": [14, "02", "08", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "A", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "A"}]}","2025-02-01 08:02:16"
531,getconfigrun,success,"2025-02-01 08:07:53"
531,speedreading,1738397280:W0:21226:29:200:0~1738397280:BV:397~,"2025-02-01 08:07:54"
656,getconfigrun,success,"2025-02-01 08:13:06"
656,speedreading,1738397520:W0:66819:141:200:0~1738397520:BV:417~,"2025-02-01 08:13:06"
651,getconfigrun,success,"2025-02-01 08:15:08"
651,speedreading,1738397700:W0:4925:113:600:0~1738397700:BV:835~,"2025-02-01 08:15:09"
50024,speedreading,"{"Datetime": [33, 21, "08", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "A", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "75", "F2": "0", "ACR": "a"}]}","2025-02-01 08:21:38"
652,getconfigrun,success,"2025-02-01 08:29:39"
652,speedreading,1738398600:W1:5833:0~1738398600:BV:820~,"2025-02-01 08:29:39"
106,getconfigrun,success,"2025-02-01 08:30:06"
106,speedreading,1738398600:W1:7253:0~1738398600:BV:451~,"2025-02-01 08:30:06"
50024,speedreading,"{"Datetime": [14, 32, "08", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "D", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "D"}]}","2025-02-01 08:32:16"
106,getconfigrun,success,"2025-02-01 08:36:03"
106,speedreading,1738398960:W0:4816:168:200:0~1738398960:BV:452~,"2025-02-01 08:36:04"
652,getconfigrun,success,"2025-02-01 08:49:38"
652,speedreading,1738399800:W0:4902:40:200:0~1738399800:BV:819~,"2025-02-01 08:49:38"
612,getconfigrun,success,"2025-02-01 08:51:31"
612,speedreading,1738399860:W1:7128:0~1738399860:BV:532~,"2025-02-01 08:51:31"
50024,speedreading,"{"Datetime": [33, 51, "08", "SAT", 1, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "D", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "84", "F2": "0", "ACR": "d"}]}","2025-02-01 08:51:36"
860,speedreading,1738400122:BV:2585,"2025-02-01 08:55:24"
612,getconfigrun,success,"2025-02-01 08:55:31"
612,speedreading,1738400100:W0:7270:93:201:0~1738400100:BV:526~,"2025-02-01 08:55:32"
