idSchedule,startdate,duration,time,schdchange,onoff,weather
1,2025-01-04,4,10:41:00,4,0,0
2,2022-06-23,2,17:14:00,0,1,0
3,2022-12-07,1,13:48:00,0,1,0
4,2021-05-10,10,20:43:32,0,NULL,NULL
5,2022-05-27,1,15:42:00,0,1,0
6,2022-09-27,10,11:26:00,0,1,0
7,2022-07-12,4,16:13:00,0,1,0
8,2022-05-19,1,16:05:00,0,1,1
9,2022-12-05,2,10:54:00,1,1,0
10,2022-09-27,3,14:14:00,0,1,0
11,2025-01-25,30,09:15:00,0,1,0
12,2025-01-25,30,10:00:00,0,1,0
13,2024-12-20,4,17:49:00,0,1,0
14,2024-10-23,4,12:16:00,0,1,0
15,2024-10-03,4,13:00:00,0,1,0
16,2024-10-03,4,13:20:00,0,1,0
17,2024-12-08,4,10:54:00,0,1,0
18,2024-12-29,6,19:23:00,0,1,0
21,2022-12-01,2,13:23:00,0,1,0
22,2023-08-28,4,11:18:00,4,0,0
25,2022-04-18,1,18:47:00,0,NULL,NULL
31,2025-01-29,4,16:20:00,0,1,0
32,2025-01-29,4,16:01:00,0,1,0
33,2025-01-29,4,16:10:00,0,1,0
34,2025-01-21,4,09:58:00,0,1,0
35,2025-01-21,4,09:01:00,0,1,0
36,2025-01-21,4,09:59:00,0,1,0
37,2025-01-21,4,09:00:00,0,1,0
38,2025-01-21,4,09:59:00,0,1,0
52,2024-03-20,4,11:01:00,0,1,0
53,2025-01-03,63,17:18:00,0,1,0
58,2022-10-10,4,13:07:00,0,1,0
59,2022-10-04,2,18:36:00,0,1,0
60,2022-11-23,5,17:30:00,0,1,0
64,2023-04-06,30,07:10:00,0,1,0
101,2025-02-14,6,07:35:00,0,1,0
102,2024-12-11,4,17:35:00,0,NULL,NULL
104,2024-12-11,4,17:15:00,0,NULL,NULL
105,2025-02-15,4,11:21:00,4,1,0
106,2024-12-27,6,08:30:00,0,NULL,NULL
107,2024-12-14,4,11:50:00,0,NULL,NULL
108,2025-02-15,4,11:59:00,0,1,0
109,2025-02-02,60,17:00:00,0,1,0
110,2025-01-28,4,10:14:00,0,NULL,NULL
111,2025-01-24,4,11:32:00,0,NULL,NULL
112,2025-01-29,4,14:04:00,0,NULL,NULL
113,2025-02-14,4,13:49:00,1,NULL,NULL
114,2025-01-24,4,16:48:00,0,1,0
115,2025-02-03,4,14:59:00,0,1,0
116,2025-01-07,4,17:23:00,0,1,0
117,2025-01-07,4,17:25:00,0,NULL,NULL
