idMiscellaneous,subject,reading,createdat
22,getconfigrun,success,"2022-05-29 14:40:51"
22,getconfigrun,success,"2022-05-29 16:25:29"
22,getconfigrun,success,"2022-05-29 16:25:43"
22,speedreading,946684801:TD:707150443~946684801:BV:800~946684800:TD:707156722~946684800:BV:786~1653841540:BV:795~,"2022-05-29 16:25:43"
22,getconfigrun,success,"2022-05-29 16:27:48"
22,getconfigrun,success,"2022-05-29 16:28:10"
22,getconfigrun,success,"2022-05-29 16:28:45"
22,getconfigrun,success,"2022-05-29 16:30:30"
22,getconfigrun,success,"2022-05-29 16:31:41"
22,speedreading,946684800:TD:707156864~946684800:BV:1024~946684802:TD:707156884~946684802:BV:1024~946684800:TD:707156921~946684800:BV:1024~946684800:TD:707157026~946684800:BV:1024~1653841895:BV:1024~,"2022-05-29 16:31:41"
22,getconfigrun,success,"2022-05-29 16:32:08"
22,speedreading,1653841924:BV:1024~,"2022-05-29 16:32:08"
22,getconfigrun,success,"2022-05-29 16:33:35"
22,speedreading,1653842010:TD:1~1653842010:BV:1024~,"2022-05-29 16:33:35"
22,getconfigrun,success,"2022-05-29 16:34:02"
22,speedreading,1653842037:TD:1~1653842037:BV:1024~,"2022-05-29 16:34:02"
22,getconfigrun,success,"2022-05-29 16:40:27"
22,speedreading,1653842423:BV:1024~,"2022-05-29 16:40:27"
22,getconfigrun,success,"2022-05-29 16:40:58"
22,speedreading,1653842454:TD:1~1653842454:BV:1024~,"2022-05-29 16:40:58"
22,getconfigrun,success,"2022-05-29 16:42:04"
22,speedreading,1653842520:W1:3973:0~1653842520:BV:1024~,"2022-05-29 16:42:04"
22,getconfigrun,success,"2022-05-29 16:43:04"
22,speedreading,1653842580:W0:4019:0:200:0~1653842580:BV:1024~,"2022-05-29 16:43:04"
22,getconfigrun,success,"2022-05-29 16:57:59"
22,speedreading,1653843474:TD:1~1653843474:BV:812~,"2022-05-29 16:57:59"
22,getconfigrun,success,"2022-05-29 17:10:24"
22,speedreading,1653844220:BV:1024~,"2022-05-29 17:10:24"
22,getconfigrun,success,"2022-05-29 17:10:54"
22,speedreading,1653844250:BV:1024~,"2022-05-29 17:10:54"
22,getconfigrun,success,"2022-05-29 17:11:25"
22,speedreading,1653844280:TD:1~1653844280:BV:1024~,"2022-05-29 17:11:25"
22,getconfigrun,success,"2022-05-29 17:18:55"
22,speedreading,1653844731:BV:1024~,"2022-05-29 17:18:55"
22,getconfigrun,success,"2022-05-29 17:22:29"
22,speedreading,1653844945:BV:1024~,"2022-05-29 17:22:29"
22,getconfigrun,success,"2022-05-29 17:24:04"
22,speedreading,1653845040:W1:3953:0~1653845040:BV:1024~,"2022-05-29 17:24:04"
22,getconfigrun,success,"2022-05-29 17:25:04"
22,speedreading,1653845100:W0:4025:50:1200:12~1653845100:BV:1024~,"2022-05-29 17:25:05"
22,getconfigrun,success,"2022-05-29 17:30:15"
22,speedreading,1653845411:BV:1024~,"2022-05-29 17:30:15"
22,getconfigrun,success,"2022-05-29 17:31:04"
22,speedreading,1653845460:W1:3935:0~1653845460:BV:1024~,"2022-05-29 17:31:04"
22,getconfigrun,success,"2022-05-29 17:32:04"
22,speedreading,1653845520:W0:4043:141:200:0~1653845520:BV:1024~,"2022-05-29 17:32:04"
22,getconfigrun,success,"2022-05-29 18:00:44"
22,speedreading,1653847017:E2:7079~1653847237:BV:1024~,"2022-05-29 18:00:44"
22,getconfigrun,success,"2022-05-30 17:31:07"
22,speedreading,1653931860:W1:7072:0~1653931860:BV:1024~,"2022-05-30 17:31:07"
22,getconfigrun,success,"2022-05-30 17:32:06"
22,speedreading,1653931920:W0:6030:140:200:0~1653931920:BV:1024~,"2022-05-30 17:32:06"
22,getconfigrun,success,"2022-05-31 14:51:32"
22,speedreading,1654008540:E2:7083~1654008540:BV:793~,"2022-05-31 14:51:32"
22,getconfigrun,success,"2022-05-31 14:55:28"
22,speedreading,1654008922:BV:801~,"2022-05-31 14:55:28"
22,getconfigrun,success,"2022-05-31 14:57:06"
22,speedreading,1654009020:W1:6348:0~1654009020:BV:805~,"2022-05-31 14:57:06"
22,getconfigrun,success,"2022-05-31 14:58:05"
22,speedreading,1654009080:W0:5285:7:201:0~1654009080:BV:802~,"2022-05-31 14:58:05"
22,getconfigrun,success,"2022-05-31 15:38:50"
22,speedreading,1654011525:BV:807~,"2022-05-31 15:38:50"
22,getconfigrun,success,"2022-05-31 15:40:06"
22,speedreading,1654011600:W1:6359:0~1654011600:BV:805~,"2022-05-31 15:40:06"
22,getconfigrun,success,"2022-05-31 15:41:05"
22,speedreading,1654011660:W0:5278:53:200:0~1654011660:BV:804~,"2022-05-31 15:41:05"
22,getconfigrun,success,"2022-05-31 15:48:51"
22,speedreading,1654012125:BV:806~,"2022-05-31 15:48:51"
22,getconfigrun,success,"2022-05-31 15:50:05"
22,speedreading,1654012200:W1:5199:0~1654012200:BV:804~,"2022-05-31 15:50:05"
22,getconfigrun,success,"2022-05-31 15:53:05"
22,speedreading,1654012380:W0:5267:65:201:0~1654012380:BV:804~,"2022-05-31 15:53:05"
22,getconfigrun,success,"2022-05-31 15:58:26"
22,speedreading,1654012700:BV:802~,"2022-05-31 15:58:26"
22,getconfigrun,success,"2022-06-01 09:00:31"
22,speedreading,1654074000:W1:10108:0~1654074000:BV:806~,"2022-06-01 09:00:35"
22,getconfigrun,success,"2022-06-01 09:04:06"
22,speedreading,1654074000:W1:10108:0~1654074000:BV:806~1654074240:W0:6385:72:200:0~1654074240:BV:806~,"2022-06-01 09:04:07"
22,getconfigrun,success,"2022-06-02 09:00:05"
22,speedreading,1654160400:W1:5188:0~1654160400:BV:809~,"2022-06-02 09:00:05"
22,getconfigrun,success,"2022-06-02 09:04:06"
22,speedreading,1654160640:W0:6067:83:200:0~1654160640:BV:806~,"2022-06-02 09:04:06"
22,getconfigrun,success,"2022-06-03 09:00:07"
22,speedreading,1654246800:TD:1~1654246800:W1:6662:0~1654246800:BV:810~,"2022-06-03 09:00:07"
22,getconfigrun,success,"2022-06-03 09:04:05"
22,speedreading,1654247040:W0:5059:0:200:0~1654247040:BV:810~,"2022-06-03 09:04:05"
22,getconfigrun,success,"2022-06-04 09:00:07"
