idMiscellaneous,subject,reading,createdat
878,speedreading,1740444023:BV:2619,"2025-02-25 00:40:25"
860,speedreading,1740444923:BV:2546,"2025-02-25 00:55:25"
878,speedreading,1740447622:BV:2617,"2025-02-25 01:40:24"
860,speedreading,1740448522:BV:2546,"2025-02-25 01:55:26"
878,speedreading,1740451222:BV:2616,"2025-02-25 02:40:25"
860,speedreading,1740452122:BV:2547,"2025-02-25 02:55:25"
878,speedreading,1740454823:BV:2615,"2025-02-25 03:40:26"
860,speedreading,1740455723:BV:2546,"2025-02-25 03:55:25"
878,speedreading,1740458423:BV:2611,"2025-02-25 04:40:27"
872,speedreading,1740458424:BV:32767,"2025-02-25 04:40:27"
875,speedreading,1740458448:BV:2609,"2025-02-25 04:40:53"
860,speedreading,1740459322:BV:2547,"2025-02-25 04:55:25"
878,speedreading,1740462022:BV:2605,"2025-02-25 05:40:24"
872,speedreading,1740462022:BV:2601,"2025-02-25 05:40:26"
875,speedreading,1740462046:BV:2603,"2025-02-25 05:40:50"
860,speedreading,1740462922:BV:2547,"2025-02-25 05:55:25"
636,getconfigrun,success,"2025-02-25 06:30:06"
636,speedreading,1740465000:W1:12078:0~1740465000:BV:456~,"2025-02-25 06:30:06"
636,getconfigrun,success,"2025-02-25 06:34:04"
636,speedreading,1740465240:W0:9852:175:200:0~1740465240:BV:454~,"2025-02-25 06:34:04"
638,getconfigrun,success,"2025-02-25 06:40:23"
638,speedreading,1740465600:W1:11607:0~1740465600:BV:805~,"2025-02-25 06:40:24"
638,getconfigrun,success,"2025-02-25 06:44:20"
638,speedreading,1740465840:W0:8218:50:200:0~1740465840:BV:802~,"2025-02-25 06:44:22"
860,speedreading,1740466522:BV:2546,"2025-02-25 06:55:25"
650,getconfigrun,success,"2025-02-25 07:00:11"
650,speedreading,1740466800:W1:5768:0~1740466800:BV:821~,"2025-02-25 07:00:11"
50024,speedreading,"{"Datetime": [14, "02", "07", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "B", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "B"}]}","2025-02-25 07:02:17"
64,getconfigrun,success,"2025-02-25 07:10:36"
64,speedreading,1740294600:E1:56401~1740294600:W1:56335:0~1740294600:BV:337~1740296400:E1:32077~1740296400:W0:32077:0:200:0~1740296400:BV:337~1740381000:E1:16963~1740381000:W1:16964:0~1740381000:BV:339~1740382800:E1:19029~1740382800:W0:19033:0:200:0~1740382800:BV:337~,"2025-02-25 07:10:36"
50024,speedreading,"{"Datetime": [33, 21, "07", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "B", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "294", "F2": "0", "ACR": "b"}]}","2025-02-25 07:21:37"
113,getconfigrun,success,"2025-02-25 07:30:06"
113,speedreading,1740468600:W1:5867:1~1740468600:BV:447~,"2025-02-25 07:30:07"
650,getconfigrun,success,"2025-02-25 07:30:10"
650,speedreading,1740468600:W0:4922:0:200:0~1740468600:BV:821~,"2025-02-25 07:30:10"
50024,speedreading,"{"Datetime": [15, 32, "07", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "C", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "C"}]}","2025-02-25 07:32:19"
101,getconfigrun,success,"2025-02-25 07:35:04"
101,speedreading,1740468900:W1:6406:0~1740468900:BV:424~,"2025-02-25 07:35:04"
113,getconfigrun,success,"2025-02-25 07:40:05"
113,speedreading,1740469200:W0:4763:59:200:0~1740469200:BV:448~,"2025-02-25 07:40:06"
101,getconfigrun,success,"2025-02-25 07:41:02"
101,speedreading,1740469260:W0:4716:286:200:0~1740469260:BV:427~,"2025-02-25 07:41:02"
651,getconfigrun,success,"2025-02-25 07:45:10"
651,speedreading,1740469500:W1:6005:136~1740469500:BV:834~,"2025-02-25 07:45:10"
50024,speedreading,"{"Datetime": [33, 51, "07", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "C", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "173", "F2": "0", "ACR": "c"}]}","2025-02-25 07:51:35"
860,speedreading,1740470121:BV:2569,"2025-02-25 07:55:24"
108,getconfigrun,success,"2025-02-25 08:00:07"
108,speedreading,1740470400:W1:7054:0~1740470400:BV:436~,"2025-02-25 08:00:07"
50024,speedreading,"{"Datetime": [13, "02", "08", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "A", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "A"}]}","2025-02-25 08:02:16"
531,getconfigrun,success,"2025-02-25 08:07:59"
531,speedreading,1740382560:E1:49438~1740382560:W1:49375:0~1740382560:BV:394~1740384480:E1:49496~1740384480:W0:49500:26:200:0~1740384480:BV:394~1740468960:E1:28572~1740468960:W1:28578:0~1740468960:BV:394~1740470880:W0:29313:27:200:0~1740470880:BV:393~,"2025-02-25 08:08:00"
108,getconfigrun,success,"2025-02-25 08:10:06"
108,speedreading,1740471000:W0:5640:16:200:0~1740471000:BV:435~,"2025-02-25 08:10:06"
651,getconfigrun,success,"2025-02-25 08:15:09"
651,speedreading,1740471300:W0:4928:113:200:0~1740471300:BV:835~,"2025-02-25 08:15:09"
50024,speedreading,"{"Datetime": [33, 21, "08", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "A", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "171", "F2": "0", "ACR": "a"}]}","2025-02-25 08:21:38"
652,getconfigrun,success,"2025-02-25 08:30:03"
652,speedreading,1740472200:W1:5991:0~1740472200:BV:818~,"2025-02-25 08:30:03"
106,getconfigrun,success,"2025-02-25 08:30:05"
106,speedreading,1740472200:W1:6598:0~1740472200:BV:447~,"2025-02-25 08:30:05"
50024,speedreading,"{"Datetime": [14, 32, "08", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BOFR": "0", "VN": "D", "AOFR": "0", "A1": "LO", "NN": "A", "F1": "0", "F2": "0", "ACR": "D"}]}","2025-02-25 08:32:17"
106,getconfigrun,success,"2025-02-25 08:36:03"
106,speedreading,1740472560:W0:4842:182:200:0~1740472560:BV:450~,"2025-02-25 08:36:03"
652,getconfigrun,success,"2025-02-25 08:50:02"
652,speedreading,1740473400:W0:5001:54:200:0~1740473400:BV:816~,"2025-02-25 08:50:02"
50024,speedreading,"{"Datetime": [34, 51, "08", "TUE", 25, 2, 2025], "Data": [{"ar": "0", "BCFR": "0", "VN": "D", "ACFR": "0", "A1": "LC", "NN": "A", "F1": "169", "F2": "0", "ACR": "d"}]}","2025-02-25 08:51:39"
860,speedreading,1740473722:BV:2576,"2025-02-25 08:55:26"
656,getconfigrun,success,"2025-02-25 09:21:10"
656,speedreading,1740475260:W1:11248:0~1740475260:BV:412~,"2025-02-25 09:21:10"
612,getconfigrun,success,"2025-02-25 09:34:11"
612,speedreading,1740476040:W1:8610:0~1740476040:BV:533~,"2025-02-25 09:34:11"
612,getconfigrun,success,"2025-02-25 09:40:10"
612,speedreading,1740476400:W0:7350:87:200:0~1740476400:BV:534~,"2025-02-25 09:40:10"
860,speedreading,1740477322:BV:2599,"2025-02-25 09:55:24"
609,getconfigrun,success,"2025-02-25 10:05:22"
609,speedreading,1740477900:W1:5690:0~1740477900:BV:530~,"2025-02-25 10:05:22"
609,getconfigrun,success,"2025-02-25 10:27:21"
609,speedreading,1740479220:W0:4913:4:201:0~1740479220:BV:530~,"2025-02-25 10:27:21"
